Transaction ID,Member ID,Date,Payment method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Item Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Membership Type,Applicable Taxes,Project ID,Project Name,Handled By,Notes,Renewal
760010,1022,1/1/2018 12:37 AM,,,,,1.8,1.80,,Late Fee,0.9,0.9,4341.0,Tin Shears,,,,,Gin,,
760010,1022,1/1/2018 12:37 AM,,,,,1.8,1.80,,Late Fee,0.9,0.9,4938.0,"Tape Measure, 25ft",,,,,Gin,,
760010,1022,1/1/2018 12:37 AM,,,,,1.8,1.80,,Check Out (Renewal),,,4938.0,"Tape Measure, 25ft",,,,,Gin,,Renewal
760010,1022,1/1/2018 12:37 AM,,,,,1.8,1.80,,Check Out (Renewal),,,4341.0,Tin Shears,,,,,Gin,,Renewal
760010,1022,1/1/2018 12:37 AM,On Account,,,1.80,1.8,1.80,,,,,,,,,,,,,
760011,833,1/1/2018 12:38 AM,,,,,2.4,2.40,,Late Fee,0.8,0.8,5018.0,"Calipers, Digital",,,,,Gin,,
760011,833,1/1/2018 12:38 AM,,,,,2.4,2.40,,Late Fee,0.8,0.8,1.0,Dehydrator,,,,,Gin,,
760011,833,1/1/2018 12:38 AM,,,,,2.4,2.40,,Late Fee,0.8,0.8,5394.0,Monitor,,,,,Gin,,
760011,833,1/1/2018 12:38 AM,,,,,2.4,2.40,,Check Out (Renewal),,,5394.0,Monitor,,,,,Gin,,Renewal
760011,833,1/1/2018 12:38 AM,,,,,2.4,2.40,,Check Out (Renewal),,,1.0,Dehydrator,,,,,Gin,,Renewal
760011,833,1/1/2018 12:38 AM,,,,,2.4,2.40,,Check Out (Renewal),,,5018.0,"Calipers, Digital",,,,,Gin,,Renewal
760011,833,1/1/2018 12:38 AM,On Account,,,2.40,2.4,2.40,,,,,,,,,,,,,
760075,874,1/1/2018 9:36 PM,,,,,2.1,2.10,,Late Fee,0.7,0.7,4829.0,"Clamp, Bar",,,,,Gin,,
760075,874,1/1/2018 9:36 PM,,,,,2.1,2.10,,Late Fee,0.7,0.7,6032.0,"Clamp, Quick Grip",,,,,Gin,,
760075,874,1/1/2018 9:36 PM,,,,,2.1,2.10,,Late Fee,0.7,0.7,4033.0,Speed Square,,,,,Gin,,
760075,874,1/1/2018 9:36 PM,,,,,2.1,2.10,,Check Out (Renewal),,,4033.0,Speed Square,,,,,Gin,,Renewal
760075,874,1/1/2018 9:36 PM,,,,,2.1,2.10,,Check Out (Renewal),,,6032.0,"Clamp, Quick Grip",,,,,Gin,,Renewal
