Transaction ID,Member ID,Date,Payment method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Item Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Membership Type,Applicable Taxes,Project ID,Project Name,Handled By,Notes,Renewal
1957893,540,1/1/2021 4:24 PM,,,,,3.4,3.40,5.00,Late Fee,1.7,1.7,350.0,Cable Tracker,,,,,Sir,,
1957893,540,1/1/2021 4:24 PM,,,,,3.4,3.40,5.00,Late Fee,1.7,1.7,6479.0,Roto Zip,,,,,Sir,,
1957893,540,1/1/2021 4:24 PM,On Account,,,(1.60),3.4,3.40,5.00,,,,,,,,,,,,
1957893,540,1/1/2021 4:24 PM,Cash,5.00,,,3.4,3.40,5.00,,,,,,,,,,,,
1957894,540,1/1/2021 4:31 PM,,,,,3.3,3.30,,Late Fee,1.7,1.7,7186.0,"Multitool, Oscillating",,,,,Sir,,
1957894,540,1/1/2021 4:31 PM,,,,,3.3,3.30,,Late Fee,0.8,0.8,398.0,House Jack,,,,,Sir,,
1957894,540,1/1/2021 4:31 PM,,,,,3.3,3.30,,Late Fee,0.8,0.8,5541.0,Ladder,,,,,Sir,,
1957894,540,1/1/2021 4:31 PM,,,,,3.3,3.30,,Check Out (Renewal),,,5541.0,Ladder,,,,,Sir,,Renewal
1957894,540,1/1/2021 4:31 PM,,,,,3.3,3.30,,Check Out (Renewal),,,398.0,House Jack,,,,,Sir,,Renewal
1957894,540,1/1/2021 4:31 PM,,,,,3.3,3.30,,Check Out (Renewal),,,7186.0,"Multitool, Oscillating",,,,,Sir,,Renewal
1957894,540,1/1/2021 4:31 PM,On Account,,,3.30,3.3,3.30,,,,,,,,,,,,,
1957896,540,1/1/2021 4:34 PM,,,,,,,2.00,Loan Return,,,7186.0,"Multitool, Oscillating",,,,,Sir,,
1957896,540,1/1/2021 4:34 PM,,,,,,,2.00,Loan Return,,,398.0,House Jack,,,,,Sir,,
1957896,540,1/1/2021 4:34 PM,,,,,,,2.00,Loan Return,,,5541.0,Ladder,,,,,Sir,,
1957896,540,1/1/2021 4:34 PM,,,,,,,2.00,Check Out,,,6839.0,Car Jack,,,,,Sir,,
1957896,540,1/1/2021 4:34 PM,,,,,,,2.00,Check Out (Renewal),,,5541.0,Ladder,,,,,Sir,,Renewal
1957896,540,1/1/2021 4:34 PM,,,,,,,2.00,Check Out (Renewal),,,398.0,House Jack,,,,,Sir,,Renewal
1957896,540,1/1/2021 4:34 PM,,,,,,,2.00,Check Out (Renewal),,,7186.0,"Multitool, Oscillating",,,,,Sir,,Renewal
1957896,540,1/1/2021 4:34 PM,On Account,,,(2.00),,,2.00,,,,,,,,,,,,
1957896,540,1/1/2021 4:34 PM,Cash,2.00,,,,,2.00,,,,,,,,,,,,
1958367,2295,1/2/2021 10:35 AM,,,,,,,,Loan Return,,,3870.0,Serger,,,,,Gin,,
1958384,3030,1/2/2021 10:44 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,jjv,,
1958417,2970,1/2/2021 11:04 AM,,,,,1.4,1.40,1.40,Late Fee,1.4,1.4,683.0,Pasta Maker,,,,,Gin,,
1958417,2970,1/2/2021 11:04 AM,Cash,1.40,,,1.4,1.40,1.40,,,,,,,,,,,,
1958432,1588,1/2/2021 11:13 AM,,,,,,(0.70),,Check Out,,,7711.0,Allen Wrench Set,,,,,Gin,,
1958432,1588,1/2/2021 11:13 AM,On Account,,,(0.70),,(0.70),,,,,,,,,,,,,
1958432,1588,1/2/2021 11:13 AM,Discount,,0.70,,,(0.70),,,,,,,,,,,,,
1958437,3031,1/2/2021 11:14 AM,,,,,30.0,30.00,30.00,Membership Fee,,30.0,,,regular,,,,Gin,,
1958437,3031,1/2/2021 11:14 AM,External Credit/Debit,30.00,,,30.0,30.00,30.00,,,,,,,,,,,,
1958443,2864,1/2/2021 11:16 AM,,,,,1.4,,,Late Fee,1.4,1.4,6490.0,"Hand Truck, Convertible",,,,,Gin,,
1958443,2864,1/2/2021 11:16 AM,Discount,,1.40,,1.4,,,,,,,,,,,,,,
1958452,3031,1/2/2021 11:19 AM,,,,,,,,Check Out,,,5593.0,Angle Grinder,,,,,Gin,,
1958452,3031,1/2/2021 11:19 AM,,,,,,,,Check Out,,,6943.0,Tile Saw,,,,,Gin,,
1958460,2666,1/2/2021 11:21 AM,,,,,1.4,,,Late Fee,1.4,1.4,4620.0,Chain Tool,,,,,Gin,,
1958460,2666,1/2/2021 11:21 AM,Discount,,1.40,,1.4,,,,,,,,,,,,,,
1958482,3019,1/2/2021 11:30 AM,,,,,,,,Loan Return,,,4696.0,Table,,,,,Gin,,
1958482,3019,1/2/2021 11:30 AM,,,,,,,,Loan Return,,,4697.0,Table,,,,,Gin,,
1958491,3012,1/2/2021 11:34 AM,,,,,1.4,,,Late Fee,1.4,1.4,663.0,"Saw, Miter",,,,,Gin,,
1958491,3012,1/2/2021 11:34 AM,Discount,,1.40,,1.4,,,,,,,,,,,,,,
1958510,2658,1/2/2021 11:40 AM,,,,,2.8,,,Late Fee,1.4,1.4,591.0,Dehydrator,,,,,Gin,,
1958510,2658,1/2/2021 11:40 AM,,,,,2.8,,,Late Fee,1.4,1.4,7433.0,Grabber,,,,,Gin,,
1958510,2658,1/2/2021 11:40 AM,Discount,,2.80,,2.8,,,,,,,,,,,,,,
1958518,2294,1/2/2021 11:42 AM,,,,,1.4,,,Late Fee,1.4,1.4,7817.0,"Shop Vac, Wet/Dry, 10 Gal",,,,,Gin,,
1958518,2294,1/2/2021 11:42 AM,Discount,,1.40,,1.4,,,,,,,,,,,,,,
1958577,1478,1/2/2021 12:02 PM,,,,,,,,Check Out,,,5677.0,Square,,,,,Gin,,
1958577,1478,1/2/2021 12:02 PM,,,,,,,,Check Out,,,7426.0,Circular Saw 7 Inch,,,,,Gin,,
1958577,1478,1/2/2021 12:02 PM,,,,,,,,Check Out,,,7020.0,Jigsaw,,,,,Gin,,
1958577,1478,1/2/2021 12:02 PM,,,,,,,,Check Out,,,6941.0,C-clamp,,,,,Gin,,
1958577,1478,1/2/2021 12:02 PM,,,,,,,,Check Out,,,6982.0,C-clamp,,,,,Gin,,
1958620,2980,1/2/2021 12:27 PM,,,,,4.2,,,Late Fee,1.4,1.4,4823.0,"Drill, Hand",,,,,Gin,,
1958620,2980,1/2/2021 12:27 PM,,,,,4.2,,,Late Fee,1.4,1.4,5019.0,Dremel Press Stand,,,,,Gin,,
1958620,2980,1/2/2021 12:27 PM,,,,,4.2,,,Late Fee,1.4,1.4,4872.0,Flex Shaft,,,,,Gin,,
1958620,2980,1/2/2021 12:27 PM,,,,,4.2,,,Check Out (Renewal),,,4872.0,Flex Shaft,,,,,Gin,,Renewal
1958620,2980,1/2/2021 12:27 PM,,,,,4.2,,,Check Out (Renewal),,,5019.0,Dremel Press Stand,,,,,Gin,,Renewal
1958620,2980,1/2/2021 12:27 PM,,,,,4.2,,,Check Out (Renewal),,,4823.0,"Drill, Hand",,,,,Gin,,Renewal
1958620,2980,1/2/2021 12:27 PM,Discount,,4.20,,4.2,,,,,,,,,,,,,,
1958622,51,1/2/2021 12:28 PM,,,,,1.4,,,Late Fee,1.4,1.4,8.0,Dehydrator,,,,,Gin,,
1958622,51,1/2/2021 12:28 PM,,,,,1.4,,,Check Out (Renewal),,,8.0,Dehydrator,,,,,Gin,,Renewal
1958622,51,1/2/2021 12:28 PM,Discount,,1.40,,1.4,,,,,,,,,,,,,,
1959060,1878,1/3/2021 12:20 PM,,,,,1.5,(0.10),,Late Fee,1.5,1.5,4770.0,Hand Truck,,,,,Qui,,
1959060,1878,1/3/2021 12:20 PM,On Account,,,(0.10),1.5,(0.10),,,,,,,,,,,,,
1959060,1878,1/3/2021 12:20 PM,Discount,,1.60,,1.5,(0.10),,,,,,,,,,,,Was returned but not checked in,
1959067,1878,1/3/2021 12:26 PM,,,,,20.0,20.00,20.00,Membership Change,,,,,regular,,,,Qui,,
1959067,1878,1/3/2021 12:26 PM,,,,,20.0,20.00,20.00,Check Out,,,6978.0,Push Broom,,,,,Qui,,
1959067,1878,1/3/2021 12:26 PM,,,,,20.0,20.00,20.00,Check Out,,,7817.0,"Shop Vac, Wet/Dry, 10 Gal",,,,,Qui,,
1959067,1878,1/3/2021 12:26 PM,,,,,20.0,20.00,20.00,Other,,20.0,,,,,,,Qui,,
1959067,1878,1/3/2021 12:26 PM,Cash,20.00,,,20.0,20.00,20.00,,,,,,,,,,,,
1959598,3032,1/4/2021 8:40 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,anc,,
1959766,3033,1/4/2021 11:59 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,joa,,
1963651,3034,1/9/2021 1:35 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,mav,,
1963926,3035,1/9/2021 8:41 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,kwi,,
1963999,3035,1/9/2021 9:30 AM,,,,,20.0,20.00,20.00,Membership Fee,,20.0,,,regular,,,,Gin,,
1963999,3035,1/9/2021 9:30 AM,External Credit/Debit,20.00,,,20.0,20.00,20.00,,,,,,,,,,,,
1964000,3035,1/9/2021 9:31 AM,,,,,,,,Check Out,,,7376.0,Reciprocating Saw,,,,,Gin,,
1964035,1040,1/9/2021 9:50 AM,,,,,14.7,14.70,14.70,Membership Change,,,,,regular,,,,Gin,,
