Transaction ID,Member ID,Date,Payment method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Item Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Membership Type,Applicable Taxes,Project ID,Project Name,Handled By,Notes,Renewal
1165942,1876,1/2/2019 9:34 AM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,loa,,
1166333,1815,1/2/2019 6:13 PM,,,,,1.8,1.80,5.00,Late Fee,0.9,0.9,4320.0,"Power Sander, Flexible",,,,,Bil,,
1166333,1815,1/2/2019 6:13 PM,,,,,1.8,1.80,5.00,Late Fee,0.9,0.9,825.0,Power Sander,,,,,Bil,,
1166333,1815,1/2/2019 6:13 PM,On Account,,,(3.20),1.8,1.80,5.00,,,,,,,,,,,,
1166333,1815,1/2/2019 6:13 PM,Cash,5.00,,,1.8,1.80,5.00,,,,,,,,,,,,
1166334,1629,1/2/2019 6:14 PM,,,,,1.4,1.40,4.00,Late Fee,1.4,1.4,6508.0,Wood Burner,,,,,Bil,,
1166334,1629,1/2/2019 6:14 PM,Cash,4.00,,,1.4,1.40,4.00,,,,,,,,,,,,
1166334,1629,1/2/2019 6:14 PM,On Account,,,(2.60),1.4,1.40,4.00,,,,,,,,,,,,
1166336,1114,1/2/2019 6:16 PM,,,,,40.0,40.00,40.00,Membership Fee,,40.0,,,regular,,,,Bil,,
1166336,1114,1/2/2019 6:16 PM,,,,,40.0,40.00,40.00,Check Out,,,6485.0,Table Saw,,,,,Bil,,
1166336,1114,1/2/2019 6:16 PM,On Account,,,,40.0,40.00,40.00,,,,,,,,,,,,
1166336,1114,1/2/2019 6:16 PM,Cash,40.00,,,40.0,40.00,40.00,,,,,,,,,,,,
1166338,1877,1/2/2019 6:19 PM,,,,,,,,Membership Change,,,,,Request_CheckIDAddressPhoneDOB,,,,bkz,,
1166340,1663,1/2/2019 6:23 PM,,,,,,,,Check Out,,,4288.0,Laser Level,,,,,Bil,,
1166341,1663,1/2/2019 6:23 PM,,,,,,,,Check Out,,,6844.0,Stud Finder,,,,,Bil,,
1166343,1877,1/2/2019 6:28 PM,,,,,,,,Membership Change,,,,,regular,,,,Bil,,
1166343,1877,1/2/2019 6:28 PM,,,,,,,,Check Out,,,6667.0,"Pliers, Large",,,,,Bil,,
1166344,854,1/2/2019 6:28 PM,,,,,25.9,5.00,5.00,Late Fee,25.9,25.9,31.0,"Saw, Coping",,,,,Bil,,
1166344,854,1/2/2019 6:28 PM,Cash,5.00,,,25.9,5.00,5.00,,,,,,,,,,,,
1166344,854,1/2/2019 6:28 PM,Discount,,20.90,,25.9,5.00,5.00,,,,,,,,,,,,
1166352,1555,1/2/2019 6:41 PM,,,,,,,,Check Out,,,6534.0,Rope,,,,,Bil,,
1166353,1555,1/2/2019 6:42 PM,,,,,,,,Check Out,,,6548.0,Belt,,,,,Bil,,
1166354,1555,1/2/2019 6:42 PM,,,,,,,,Check Out,,,5226.0,"Hand Truck, Convertible",,,,,Bil,,
1166357,1869,1/2/2019 6:45 PM,,,,,,,,Loan Return,,,4634.0,Bolt Cutters,,,,,Bil,,
1166360,992,1/2/2019 6:47 PM,,,,,4.4,1.20,,Membership Change,,,,,regular,,,,Bil,,
1166360,992,1/2/2019 6:47 PM,,,,,4.4,1.20,,Late Fee,2.2,2.2,6895.0,"Extension Cord, Non-Grounded",,,,,Bil,,
1166360,992,1/2/2019 6:47 PM,,,,,4.4,1.20,,Late Fee,2.2,2.2,5856.0,"Drill, Corded, 3/8in",,,,,Bil,,
1166360,992,1/2/2019 6:47 PM,,,,,4.4,1.20,,Check Out (Renewal),,,6895.0,"Extension Cord, Non-Grounded",,,,,Bil,,Renewal
1166360,992,1/2/2019 6:47 PM,On Account,,,1.20,4.4,1.20,,,,,,,,,,,,,
