Transaction ID,Member ID,Date,Payment Method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Type,Amount Due For Line Item,Actual Paid,Item ID,Item Name,Applicable Taxes,Membership Type,Project ID,Project Name,Handled By,Notes,Renewal
2400683,558,1/2/2022 3:31 PM,,,,,7.8,,,Late Fee,7.8,7.8,7249.0,Laser Level,,,,,msh,,
2400683,558,1/2/2022 3:31 PM,Discount,,7.80,,7.8,,,,,,,,,,,,,,
2400697,2770,1/2/2022 4:07 PM,,,,,,,,Loan Return,,,3954.0,Hand Saw,,,,,msh,,
2400700,3480,1/2/2022 4:10 PM,,,,,,,,Membership Change,,,,,,Request_CheckIDAddressPhoneDOB,,,mol,,
2400703,3480,1/2/2022 4:12 PM,,,,,,,,Membership Change,,,,,,Request_CheckIDAddressPhoneDOB,,,msh,,
2400707,3481,1/2/2022 4:19 PM,,,,,,,,Membership Change,,,,,,Request_CheckIDAddressPhoneDOB,,,ale,,
2400708,3480,1/2/2022 4:19 PM,,,,,4.0,4.00,4.00,Membership Fee,,4.0,,,,regular,,,msh,,
2400708,3480,1/2/2022 4:19 PM,Cash,4.00,,,4.0,4.00,4.00,,,,,,,,,,,,
2400709,3480,1/2/2022 4:19 PM,,,,,,,,Check Out,,,5132.0,Heat Gun,,,,,msh,,
2400710,3481,1/2/2022 4:20 PM,,,,,10.0,10.00,10.00,Membership Fee,,10.0,,,,regular,,,msh,,
2400710,3481,1/2/2022 4:20 PM,Cash,10.00,,,10.0,10.00,10.00,,,,,,,,,,,,
2400714,3479,1/2/2022 4:24 PM,,,,,,,,Membership Change,,,,,,regular,,,msh,,
2400716,3473,1/2/2022 4:28 PM,,,,,0.8,,,Late Fee,0.4,0.4,7459.0,Garden Hose,,,,,msh,,
2400716,3473,1/2/2022 4:28 PM,,,,,0.8,,,Late Fee,0.4,0.4,7356.0,Lanchez Sub Utility Pump,,,,,msh,,
2400716,3473,1/2/2022 4:28 PM,,,,,0.8,,,Check Out (Renewal),,,7356.0,Lanchez Sub Utility Pump,,,,,msh,,Renewal
2400716,3473,1/2/2022 4:28 PM,,,,,0.8,,,Check Out (Renewal),,,7459.0,Garden Hose,,,,,msh,,Renewal
2400716,3473,1/2/2022 4:28 PM,Discount,,0.80,,0.8,,,,,,,,,,,,,,
2400718,524,1/2/2022 4:31 PM,,,,,,,,Check Out,,,8193.0,Reciprocating Saw,,,,,msh,,
2400719,3469,1/2/2022 4:43 PM,,,,,,,,Loan Return,,,7479.0,Stud Finder,,,,,jtw,,
