Transaction ID,Member ID,Payment method,Payment Amount,Discount,On Account,Transaction Amount,Amount Due,Amount Paid,Amount Due For Line Item,Actual Paid,Date,Item Type,Applicable Taxes,Item ID,Item Name,Membership Type,Project ID,Project Name,Handled By,Notes,Renewal
3025974,4234,,,,,,,,,,1/1/2023 11:05 AM,Membership Change,,,,Request_CheckIDAddressPhoneDOB,,,she,,
3026039,4235,,,,,,,,,,1/1/2023 2:12 PM,Membership Change,,,,Request_CheckIDAddressPhoneDOB,,,jsh,,
3026472,4236,,,,,,,,,,1/2/2023 9:21 AM,Membership Change,,,,Request_CheckIDAddressPhoneDOB,,,ian,,
3026587,4237,,,,,,,,,,1/2/2023 12:51 PM,Membership Change,,,,Request_CheckIDAddressPhoneDOB,,,gem,,
3027830,4238,,,,,,,,,,1/3/2023 10:51 AM,Membership Change,,,,Request_CheckIDAddressPhoneDOB,,,thy,,
3028277,4239,,,,,,,,,,1/3/2023 2:30 PM,Membership Change,,,,Request_CheckIDAddressPhoneDOB,,,sca,,
3028637,4240,,,,,,,,,,1/3/2023 6:03 PM,Membership Change,,,,Request_CheckIDAddressPhoneDOB,,,lle,,
3028646,4240,,,,,,,,,,1/3/2023 6:07 PM,Membership Change,,,,regular,,,mil,,
3028651,4239,,,,,20.00,20.00,20.00,,20.00,1/3/2023 6:11 PM,Membership Fee,,,,regular,,,mil,,
3028651,4239,External Credit/Debit,20.00,,,20.00,20.00,20.00,,,1/3/2023 6:11 PM,,,,,,,,,,
3028652,4239,,,,,,,,,,1/3/2023 6:11 PM,Check Out,,7114.0,Pipe Wrench,,,,mil,,
3028652,4239,,,,,,,,,,1/3/2023 6:11 PM,Check Out,,9011.0,Wire Stripper / Multi-Tool,,,,mil,,
3028657,3958,,,,,,,,,,1/3/2023 6:14 PM,Check Out,,8396.0,Ladder,,,,mil,,
3028658,4202,,,,,,,,,,1/3/2023 6:15 PM,Loan Return,,6949.0,Concrete Stirrer,,,,mil,,
3028658,4202,,,,,,,,,,1/3/2023 6:15 PM,Loan Return,,4074.0,Grout Float,,,,mil,,
3028658,4202,,,,,,,,,,1/3/2023 6:15 PM,Loan Return,,8804.0,Tile Cutter,,,,mil,,
3028658,4202,,,,,,,,,,1/3/2023 6:15 PM,Check Out (Renewal),,8804.0,Tile Cutter,,,,mil,,Renewal
3028658,4202,,,,,,,,,,1/3/2023 6:15 PM,Check Out (Renewal),,4074.0,Grout Float,,,,mil,,Renewal
3028658,4202,,,,,,,,,,1/3/2023 6:15 PM,Check Out (Renewal),,6949.0,Concrete Stirrer,,,,mil,,Renewal
3028659,4217,,,,,,,,,,1/3/2023 6:16 PM,Loan Return,,5410.0,Round Shovel,,,,mil,,
3028659,4217,,,,,,,,,,1/3/2023 6:16 PM,Loan Return,,4465.0,Hand Saw,,,,mil,,
